PC RUNS: 82 minutes, 0 days
OpenConsole.exe: 0 minutes, 0 days
OpenWith.exe: 0 minutes, 0 days
OverwolfUpdater.exe: 2 minutes, 0 days
OVRLibrarian.exe: 2 minutes, 0 days
OVRLibraryService.exe: 2 minutes, 0 days
pageant.exe: 42 minutes, 0 days
Photos.exe: 99 minutes, 0 days
Photoshop.exe: 848 minutes, 1 days
PickerHost.exe: 0 minutes, 0 days
PID021eDrv_v0.1.2.0.exe: 0 minutes, 0 days
PlatformerGame.exe: 0 minutes, 0 days
PrintIsolationHost.exe: 1040 minutes, 0 days
provtool.exe: 0 minutes, 0 days
python.exe: 494 minutes, 1 days
r2modman.exe: 15 minutes, 0 days
Razer Central.exe: 645 minutes, 0 days
Razer_Chroma_Connect_SDK_Core_v3.1.0.exe: 0 minutes, 0 days
razer_elevation_service.exe: 894 minutes, 0 days
RazerAppEngine.exe: 894 minutes, 0 days
RazerCentralService.exe: 900 minutes, 0 days
RazerCortex.exe: 644 minutes, 0 days
RazerCortex.Shell.exe: 3 minutes, 0 days
RazerInstaller.exe: 1 minutes, 0 days
rcc.exe: 0 minutes, 0 days
rg.exe: 1 minutes, 0 days
Riot Client.exe: 105 minutes, 0 days
RiotClientCrashHandler.exe: 573 minutes, 6 days
RiotClientServices.exe: 574 minutes, 6 days
runonce.exe: 43 minutes, 0 days
Rust.exe: 0 minutes, 0 days
RustClient.exe: 177 minutes, 0 days
RzChromaStreamServer.exe: 885 minutes, 0 days
RzEngineMon.exe: 894 minutes, 0 days
RzSDKServer.exe: 893 minutes, 0 days
RzSDKService.exe: 893 minutes, 0 days
SDXHelper.exe: 44 minutes, 0 days
service.exe: 343 minutes, 1 days
SetEnvVar.exe: 0 minutes, 0 days
setup.exe: 11 minutes, 0 days
SGuard64.exe: 335 minutes, 1 days
SGuardSvc64.exe: 304 minutes, 1 days
SGuardUpdate64.exe: 2 minutes, 0 days
sh.exe: 0 minutes, 0 days
ShaderCompileWorker.exe: 28 minutes, 0 days
slui.exe: 9 minutes, 0 days
SnippingTool.exe: 872 minutes, 0 days
SourceTree.exe: 42 minutes, 0 days
sppsvc.exe: 1039 minutes, 0 days
SrTasks.exe: 13 minutes, 0 days
steam.exe: 122 minutes, 3 days
steamservice.exe: 120 minutes, 3 days
steamwebhelper.exe: 120 minutes, 3 days
SteelSeriesGG78.0.0PatchFrom77.0.0Setup.exe: 0 minutes, 0 days
SteelSeriesGGClient.exe: 7 minutes, 0 days
Taskmgr.exe: 0 minutes, 0 days
tbs_browser.exe: 341 minutes, 1 days
timeout.exe: 0 minutes, 0 days
UnityCrashHandler64.exe: 523 minutes, 0 days
UnrealCEFSubProcess.exe: 326 minutes, 1 days
UnrealEditor-Cmd.exe: 4 minutes, 0 days
UnrealEditor.exe: 783 minutes, 0 days
UnrealGame-Win64-Shipping.exe: 0 minutes, 0 days
UnrealMultiUserSlateServer.exe: 12 minutes, 0 days
UnrealTraceServer.exe: 549 minutes, 1 days
UnrealVersionSelector.exe: 0 minutes, 0 days
Update.exe: 3 minutes, 0 days
updater.exe: 138 minutes, 0 days
vds.exe: 2 minutes, 0 days
vdsldr.exe: 0 minutes, 0 days
Video.UI.exe: 679 minutes, 7 days
vmcompute.exe: 812 minutes, 1 days
vmwp.exe: 425 minutes, 1 days
VSSVC.exe: 133 minutes, 0 days
WerFault.exe: 0 minutes, 0 days
wermgr.exe: 0 minutes, 0 days
WhatsApp.exe: 1010 minutes, 13 days
Windows-KB890830-x64-V5.131.exe: 1 minutes, 0 days
WindowsCamera.exe: 0 minutes, 0 days
